UniprotID	ProteinName	Gene
P50591	TNFAIP3-interacting protein 2 (A20-binding inhibitor of NF-kappa-B activation 2) (ABIN-2) (Fetal liver LKB1-interacting protein)	TNFSF10
Q8NFZ5	Tumor necrosis factor receptor superfamily member 16 (Gp80-LNGFR) (Low affinity neurotrophin receptor p75NTR) (Low-affinity nerve growth factor receptor) (NGF receptor) (p75 ICD) (CD antigen CD271)	TNIP2
P08138	Tumor necrosis factor receptor superfamily member 25 (Apo-3) (Apoptosis-inducing receptor AIR) (Apoptosis-mediating receptor DR3) (Apoptosis-mediating receptor TRAMP) (Death receptor 3) (Lymphocyte-associated receptor of death) (LARD) (Protein WSL) (Protein WSL-1)	NGFR
Q93038	Tumor necrosis factor receptor superfamily member 27 (X-linked ectodysplasin-A2 receptor) (EDA-A2 receptor)	TNFRSF25
Q9HAV5	Toll-interacting protein	EDA2R
Q9H0E2	"Testican-2 (SPARC/osteonectin, CWCV, and Kazal-like domains proteoglycan 2)"	TOLLIP
Q92563	Protein Tob1 (Transducer of erbB-2 1)	SPOCK2
P50616	Thiamine-triphosphatase (ThTPase) (EC 3.6.1.28)	TOB1
Q9BU02	Thiosulfate sulfurtransferase (EC 2.8.1.1) (Rhodanese)	THTPA
Q16762	T-cell immunoreceptor with Ig and ITIM domains (V-set and immunoglobulin domain-containing protein 9) (V-set and transmembrane domain-containing protein 3)	TST
Q495A1	Tyrosine-protein kinase receptor Tie-1 (EC 2.7.10.1)	TIGIT
P35590	Tubulointerstitial nephritis antigen-like (Glucocorticoid-inducible protein 5) (Oxidized LDL-responsive gene 2 protein) (OLRG-2) (Tubulointerstitial nephritis antigen-related protein) (TIN Ag-related protein) (TIN-Ag-RP)	TIE1
Q9GZM7	Transmembrane and immunoglobulin domain-containing protein 2 (CD28 homolog) (Immunoglobulin and proline-rich receptor 1) (IGPR-1)	TINAGL1
Q96BF3	Lymphotoxin-beta (LT-beta) (Tumor necrosis factor C) (TNF-C) (Tumor necrosis factor ligand superfamily member 3)	TMIGD2
Q06643	TNFAIP3-interacting protein 1 (A20-binding inhibitor of NF-kappa-B activation 1) (ABIN-1) (HIV-1 Nef-interacting protein) (Nef-associated factor 1) (Naf1) (Nip40-1) (Virion-associated nuclear shuttling protein) (VAN) (hVAN)	LTB
Q15025	TNFAIP3-interacting protein 3 (A20-binding inhibitor of NF-kappa-B activation 3) (ABIN-3) (Listeria-induced gene protein)	TNIP1
Q96KP6	Non-receptor tyrosine-protein kinase TNK1 (EC 2.7.10.2) (CD38 negative kinase 1)	TNIP3
Q13470	Tumor necrosis factor receptor superfamily member 18 (Activation-inducible TNFR family receptor) (Glucocorticoid-induced TNFR-related protein) (CD antigen CD357)	TNK1
Q9Y5U5	"Tumor necrosis factor receptor superfamily member 1B (Tumor necrosis factor receptor 2) (TNF-R2) (Tumor necrosis factor receptor type II) (TNF-RII) (TNFR-II) (p75) (p80 TNF-alpha receptor) (CD antigen CD120b) (Etanercept) [Cleaved into: Tumor necrosis factor receptor superfamily member 1b, membrane form; Tumor necrosis factor-binding protein 2 (TBP-2) (TBPII)]"	TNFRSF18
P20333	Tumor necrosis factor receptor superfamily member 3 (Lymphotoxin-beta receptor) (Tumor necrosis factor C receptor) (Tumor necrosis factor receptor 2-related protein) (Tumor necrosis factor receptor type III) (TNF-RIII) (TNFR-III)	TNFRSF1B
P36941	UDP-N-acetylhexosamine pyrophosphorylase (Antigen X) (AGX) (Sperm-associated antigen 2) [Includes: UDP-N-acetylgalactosamine pyrophosphorylase (EC 2.7.7.83) (AGX-1); UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (AGX-2)]	LTBR
Q16222	Ubiquitin-conjugating enzyme E2 E3 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme E3) (UbcH9) (Ubiquitin carrier protein E3) (Ubiquitin-conjugating enzyme E2-23 kDa) (Ubiquitin-protein ligase E3)	UAP1
Q969T4	BRCA1-A complex subunit RAP80 (Receptor-associated protein 80) (Retinoid X receptor-interacting protein 110) (Ubiquitin interaction motif-containing protein 1)	UBE2E3
Q96RL1	Transmembrane protein 132A (HSPA5-binding protein 1)	UIMC1
Q24JP5	General transcription factor IIE subunit 1 (General transcription factor IIE 56 kDa subunit) (Transcription initiation factor IIE subunit alpha) (TFIIE-alpha)	TMEM132A
P29083	Transcriptional adapter 2-alpha (Transcriptional adapter 2-like) (ADA2-like protein)	GTF2E1
O75478	Transcription initiation factor TFIID subunit 4 (RNA polymerase II TBP-associated factor subunit C) (TBP-associated factor 4) (Transcription initiation factor TFIID 130 kDa subunit) (TAF(II)130) (TAFII-130) (TAFII130) (Transcription initiation factor TFIID 135 kDa subunit) (TAF(II)135) (TAFII-135) (TAFII135)	TADA2A
O00268	Transcription initiation factor TFIID subunit 10 (STAF28) (Transcription initiation factor TFIID 30 kDa subunit) (TAF(II)30) (TAFII-30) (TAFII30)	TAF4
Q12962	TRAF-interacting protein with FHA domain-containing protein A (Putative MAPK-activating protein PM14) (Putative NF-kappa-B-activating protein 20) (TRAF2-binding protein)	TAF10
Q96CG3	"Treslin (TopBP1-interacting checkpoint and replication regulator) (TopBP1-interacting, replication-stimulating protein)"	TIFA
Q7Z2Z1	Target of Myb protein 1	TICRR
O60784	Thyroid hormone receptor-associated protein 3 (BCLAF1 and THRAP3 family member 2) (Thyroid hormone receptor-associated protein complex 150 kDa component) (Trap150)	TOM1
Q9Y2W1	Tribbles homolog 1 (TRB-1) (G-protein-coupled receptor-induced gene 2 protein) (GIG-2) (SKIP1)	THRAP3
Q96RU8	Mitochondrial import receptor subunit TOM20 homolog (Mitochondrial 20 kDa outer membrane protein) (Outer mitochondrial membrane receptor Tom20)	TRIB1
Q15388	DNA topoisomerase 2-binding protein 1 (DNA topoisomerase II-beta-binding protein 1) (TopBP1) (DNA topoisomerase II-binding protein 1)	TOMM20
Q92547	Tumor necrosis factor receptor superfamily member 10C (Antagonist decoy receptor for TRAIL/Apo-2L) (Decoy TRAIL receptor without death domain) (Decoy receptor 1) (DcR1) (Lymphocyte inhibitor of TRAIL) (TNF-related apoptosis-inducing ligand receptor 3) (TRAIL receptor 3) (TRAIL-R3) (TRAIL receptor without an intracellular domain) (CD antigen CD263)	TOPBP1
O14798	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 (mRNA methyladenosine-N(1)-methyltransferase non-catalytic subunit TRM6) (tRNA(m1A58)-methyltransferase subunit TRM6) (tRNA(m1A58)MTase subunit TRM6)	TNFRSF10C
Q9UJA5	Tripartite motif-containing protein 55 (Muscle-specific RING finger protein 2) (MuRF-2) (MuRF2) (RING finger protein 29)	TRMT6
Q9BYV6	Trem-like transcript 1 protein (TLT-1) (Triggering receptor expressed on myeloid cells-like protein 1)	TRIM55
Q86YW5	Short transient receptor potential channel 5 (TrpC5) (Transient receptor protein 5) (TRP-5) (hTRP-5) (hTRP5)	TREML1
Q9UL62	Transcription termination factor 1 (TTF-1) (RNA polymerase I termination factor) (Transcription termination factor I) (TTF-I)	TRPC5
Q15361	Tubulin polyglutamylase TTLL6 (EC 6.-.-.-) (Tubulin--tyrosine ligase-like protein 6)	TTF1
Q8N841	Tyrosine-protein kinase TXK (EC 2.7.10.2) (Protein-tyrosine kinase 4) (Resting lymphocyte kinase)	TTLL6
P42681	Ubiquitin D (Diubiquitin) (Ubiquitin-like protein FAT10)	TXK
O15205	Ubiquitin-associated protein 1 (UBAP-1) (Nasopharyngeal carcinoma-associated gene 20 protein)	UBD
Q9NZ09	TBC1 domain family member 14	UBAP1
Q9P2M4	Transcription initiation factor IIA subunit 1 (General transcription factor IIA subunit 1) (TFIIAL) (Transcription initiation factor TFIIA 42 kDa subunit) (TFIIA-42) [Cleaved into: Transcription initiation factor IIA alpha chain (TFIIA p35 subunit); Transcription initiation factor IIA beta chain (TFIIA p19 subunit)]	TBC1D14
P52655	Transforming growth factor beta-1-induced transcript 1 protein (Androgen receptor coactivator 55 kDa protein) (Androgen receptor-associated protein of 55 kDa) (Hydrogen peroxide-inducible clone 5 protein) (Hic-5)	GTF2A1
O43294	Thiopurine S-methyltransferase (EC 2.1.1.67) (Thiopurine methyltransferase)	TGFB1I1
P51580	Tribbles homolog 3 (TRB-3) (Neuronal cell death-inducible putative kinase) (SINK) (p65-interacting inhibitor of NF-kappa-B)	TPMT
Q96RU7	Tripartite motif-containing protein 3 (Brain-expressed RING finger protein) (RING finger protein 22) (RING finger protein 97)	TRIB3
O75382	tRNA (cytosine(38)-C(5))-methyltransferase (EC 2.1.1.204) (DNA (cytosine-5)-methyltransferase-like protein 2) (Dnmt2) (DNA methyltransferase homolog HsaIIP) (DNA MTase homolog HsaIIP) (M.HsaIIP) (PuMet)	TRIM3
O14717	T-cell receptor-associated transmembrane adapter 1 (T-cell receptor-interacting molecule) (TRIM) (pp29/30)	TRDMT1
Q6PIZ9	Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)	TRAT1
A0AVT1	Ubiquitin-associated domain-containing protein 1 (UBA domain-containing protein 1) (E3 ubiquitin-protein ligase subunit KPC2) (Glialblastoma cell differentiation-related protein 1) (Kip1 ubiquitination-promoting complex protein 2)	UBA6
Q9BSL1	Tyrosine-protein kinase Yes (EC 2.7.10.2) (Proto-oncogene c-Yes) (p61-Yes)	UBAC1
P07947	YTH domain-containing protein 1 (Splicing factor YT521) (YT521-B)	YES1
Q96MU7	Zinc finger CCCH-type antiviral protein 1 (ADP-ribosyltransferase diphtheria toxin-like 13) (ARTD13) (Inactive Poly [ADP-ribose] polymerase 13) (PARP13) (Zinc finger CCCH domain-containing protein 2) (Zinc finger antiviral protein) (ZAP)	YTHDC1
Q7Z2W4	Zinc finger protein 40 (Cirhin interaction protein) (CIRIP) (Gate keeper of apoptosis-activating protein) (GAAP) (Human immunodeficiency virus type I enhancer-binding protein 1) (HIV-EP1) (Major histocompatibility complex-binding protein 1) (MBP-1) (Positive regulatory domain II-binding factor 1) (PRDII-BF1)	ZC3HAV1
P15822	Zinc finger and BTB domain-containing protein 4 (KAISO-like zinc finger protein 1) (KAISO-L1)	HIVEP1
Q9P1Z0	Zinc finger protein with KRAB and SCAN domains 4 (P373c6.1) (Zinc finger protein 307) (Zinc finger protein 427)	ZBTB4
Q969J2	Protein ZNF365 (DISC1-binding zinc-finger protein) (Protein su48)	ZKSCAN4
Q70YC5	Protein YIPF6 (YIP1 family member 6)	ZNF365
Q96EC8	Zinc finger and BTB domain-containing protein 14 (Zinc finger protein 161 homolog) (Zfp-161) (Zinc finger protein 478) (Zinc finger protein 5 homolog) (ZF5) (Zfp-5) (hZF5)	YIPF6
O43829	Zinc finger and BTB domain-containing protein 8A (BTB/POZ and zinc-finger domain-containing factor) (BTB/POZ and zinc-finger domains factor on chromosome 1) (BOZ-F1)	ZBTB14
Q96BR9	Palmitoyltransferase ZDHHC17 (EC 2.3.1.225) (Acyltransferase ZDHHC17) (EC 2.3.1.-) (DHHC domain-containing cysteine-rich protein 17) (DHHC17) (Huntingtin yeast partner H) (Huntingtin-interacting protein 14) (HIP-14) (Huntingtin-interacting protein 3) (HIP-3) (Huntingtin-interacting protein H) (Putative MAPK-activating protein PM11) (Putative NF-kappa-B-activating protein 205) (Zinc finger DHHC domain-containing protein 17)	ZBTB8A
Q8IUH5	YEATS domain-containing protein 2	ZDHHC17
Q9ULM3	Zonadhesin	YEATS2
Q9Y493	Palmitoyltransferase ZDHHC6 (EC 2.3.1.225) (Stearoyltransferase ZDHHC6) (EC 2.3.1.-) (Transmembrane protein H4) (Zinc finger DHHC domain-containing protein 6) (DHHC-6) (Zinc finger protein 376)	ZAN
Q9H6R6	Zinc finger C3H1 domain-containing protein (Coiled-coil domain-containing protein 131) (Proline/serine-rich coiled-coil protein 2)	ZDHHC6
O60293	Zinc finger CCCH domain-containing protein 8	ZFC3H1
Q8N5P1	Zinc finger protein 217	ZC3H8
O75362	Zinc finger protein 16 (Zinc finger protein KOX9)	ZNF217
P17020	Zinc finger protein 572	ZNF16
Q7Z3I7	3'-5' RNA helicase YTHDC2 (EC 3.6.4.13) (YTH domain-containing protein 2) (hYTHDC2)	ZNF572
Q9H6S0	Zinc finger protein 76 (Zinc finger protein 523)	YTHDC2
P36508	E3 ubiquitin-protein ligase ZNRF4 (EC 2.3.2.27) (Nixin) (RING finger protein 204) (RING-type E3 ubiquitin transferase ZNRF4) (Zinc/RING finger protein 4)	ZNF76
Q8WWF5	Transcription factor HIVEP3 (Human immunodeficiency virus type I enhancer-binding protein 3) (Kappa-B and V(D)J recombination signal sequences-binding protein) (Kappa-binding protein 1) (KBP-1) (Zinc finger protein ZAS3)	ZNRF4
Q5T1R4	Zinc finger CCCH domain-containing protein 3 (Smad-interacting CPSF-like factor)	HIVEP3
Q8IXZ2	Zinc finger MIZ domain-containing protein 2 (PIAS-like protein Zimp7)	ZC3H3
Q8NF64	Zinc finger protein 804A	ZMIZ2
Q7Z570	V-set and immunoglobulin domain-containing protein 4 (Protein Z39Ig)	ZNF804A
Q9Y279	Exportin-6 (Exp6) (Ran-binding protein 20)	VSIG4
Q96QU8	5'-3' exoribonuclease 1 (EC 3.1.13.-) (Strand-exchange protein 1 homolog)	XPO6
Q8IZH2	Xin actin-binding repeat-containing protein 2 (Beta-xin) (Cardiomyopathy-associated protein 3) (Xeplin)	XRN1
A4UGR9	Exportin-2 (Exp2) (Cellular apoptosis susceptibility protein) (Chromosome segregation 1-like protein) (Importin-alpha re-exporter)	XIRP2
P55060	Zinc finger-containing ubiquitin peptidase 1 (EC 3.4.19.12) (Lys-63-specific deubiquitinase ZUFSP) (DUB) (Zinc finger with UFM1-specific peptidase domain protein)	CSE1L
Q96AP4	Xin actin-binding repeat-containing protein 1 (Cardiomyopathy-associated protein 1)	ZUP1
Q702N8	WD repeat-containing protein 1 (Actin-interacting protein 1) (AIP1) (NORI-1)	XIRP1
O75083	Cytokine SCM-1 beta (C motif chemokine 2) (XC chemokine ligand 2)	WDR1
Q9UBD3	Vacuolar protein sorting-associated protein 4B (EC 3.6.4.6) (Cell migration-inducing gene 1 protein) (Suppressor of K(+) transport growth defect 1) (Protein SKD1)	XCL2
O75351	Serine/threonine-protein kinase VRK2 (EC 2.7.11.1) (Vaccinia-related kinase 2)	VPS4B
Q86Y07	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4 (Protein Wuho homolog) (hWH) (WD repeat-containing protein 4)	VRK2
P57081	Protein wntless homolog (Integral membrane protein GPR177) (Protein evenness interrupted homolog) (EVI) (Putative NF-kappa-B-activating protein 373)	WDR4
Q5T9L3	"WASP homolog-associated protein with actin, membranes and microtubules (WAS protein homology region 2 domain-containing protein 1) (WH2 domain-containing protein 1)"	WLS
Q8TF30	XIAP-associated factor 1 (BIRC4-binding protein)	WHAMM
Q6GPH4	Vasoactive intestinal polypeptide receptor 1 (VIP-R-1) (Pituitary adenylate cyclase-activating polypeptide type II receptor) (PACAP type II receptor) (PACAP-R-2) (PACAP-R2) (VPAC1)	XAF1
P32241	Vitamin D-binding protein (DBP) (VDB) (Gc protein-derived macrophage activating factor) (Gc-MAF) (GcMAF) (Gc-globulin) (Group-specific component) (Gc) (Vitamin D-binding protein-macrophage activating factor) (DBP-maf)	VIPR1
P02774	E3 ubiquitin-protein ligase ZFP91 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ZFP91) (Zinc finger protein 757) (Zinc finger protein 91 homolog) (Zfp-91)	GC
Q96JP5	Zinc finger protein with KRAB and SCAN domains 3 (Zinc finger and SCAN domain-containing protein 13) (Zinc finger protein 306) (Zinc finger protein 309) (Zinc finger protein 47 homolog) (Zf47) (Zfp-47)	ZFP91
Q9BRR0	Zinc finger FYVE domain-containing protein 9 (Mothers against decapentaplegic homolog-interacting protein) (Madh-interacting protein) (Novel serine protease) (NSP) (Receptor activation anchor) (hSARA) (Smad anchor for receptor activation)	ZKSCAN3
O95405	Zinc finger protein ZPR1 (Zinc finger protein 259)	ZFYVE9
O75312	Zinc finger protein 263 (Zinc finger protein FPM315) (Zinc finger protein with KRAB and SCAN domains 12)	ZPR1
O14978	Zinc finger protein 462 (Zinc finger PBX1-interacting protein) (ZFPIP)	ZNF263
Q96JM2	Zinc finger protein 417	ZNF462
Q8TAU3	Zinc finger protein 143 (SPH-binding factor) (Selenocysteine tRNA gene transcription-activating factor) (hStaf)	ZNF417
P52747	Zinc finger CCHC domain-containing protein 8 (TRAMP-like complex RNA-binding factor ZCCHC8)	ZNF143
Q6NZY4	Zinc finger protein 304 (KRAB-containing zinc finger protein)	ZCCHC8
Q9HCX3	Zinc transporter 3 (ZnT-3) (Solute carrier family 30 member 3)	ZNF304
Q99726	Zinc finger protein ZXDC (ZXD-like zinc finger protein)	SLC30A3
Q2QGD7	"Zinc finger Ran-binding domain-containing protein 2 (Zinc finger protein 265) (Zinc finger, splicing)"	ZXDC
O95218	Protein Wnt-9b (Protein Wnt-14b) (Protein Wnt-15)	ZRANB2
O14905	YTH domain-containing family protein 2 (CLL-associated antigen KW-14) (High-glucose-regulated protein 8) (Renal carcinoma antigen NY-REN-2)	WNT9B
Q9Y5A9	Inactive serine/threonine-protein kinase VRK3 (Serine/threonine-protein pseudokinase VRK3) (Vaccinia-related kinase 3)	YTHDF2
Q8IV63	Vitronectin (VN) (S-protein) (Serum-spreading factor) (V75) [Cleaved into: Vitronectin V65 subunit; Vitronectin V10 subunit; Somatomedin-B]	VRK3
P04004	Exportin-T (Exportin(tRNA)) (tRNA exportin)	VTN
O43592	5'-3' exoribonuclease 2 (EC 3.1.13.-) (DHM1-like protein) (DHP protein)	XPOT
Q9H0D6	X-ray repair cross-complementing protein 5 (EC 3.6.4.-) (86 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 2) (ATP-dependent DNA helicase II 80 kDa subunit) (CTC box-binding factor 85 kDa subunit) (CTC85) (CTCBF) (DNA repair protein XRCC5) (Ku80) (Ku86) (Lupus Ku autoantigen protein p86) (Nuclear factor IV) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining))	XRN2
P13010	Pantetheinase (EC 3.5.1.92) (Pantetheine hydrolase) (Tiff66) (Vascular non-inflammatory molecule 1) (Vanin-1)	XRCC5
O95497	Vacuolar protein sorting-associated protein VTA1 homolog (Dopamine-responsive gene 1 protein) (DRG-1) (LYST-interacting protein 5) (LIP5) (SKD1-binding protein 1) (SBP1)	VNN1
Q9NP79	pre-mRNA 3' end processing protein WDR33 (WD repeat-containing protein 33) (WD repeat-containing protein of 146 kDa)	VTA1
Q9C0J8	Ribosome biogenesis protein WDR12 (WD repeat-containing protein 12)	WDR33
Q9GZL7	Serine/threonine-protein kinase WNK3 (EC 2.7.11.1) (Protein kinase lysine-deficient 3) (Protein kinase with no lysine 3)	WDR12
Q9BYP7	Exportin-5 (Exp5) (Ran-binding protein 21)	WNK3
Q9HAV4	Exportin-7 (Exp7) (Ran-binding protein 16)	XPO5
Q9UIA9	Vesicular glutamate transporter 1 (VGluT1) (Brain-specific Na(+)-dependent inorganic phosphate cotransporter) (Solute carrier family 17 member 7)	XPO7
Q9P2U7	Chromaffin granule amine transporter (Solute carrier family 18 member 1) (Vesicular amine transporter 1) (VAT1)	SLC17A7
P54219	von Willebrand factor A domain-containing protein 2 (A domain-containing protein similar to matrilin and collagen) (AMACO) (Colon cancer secreted protein 2) (CCSP-2)	SLC18A1
Q5GFL6	Wings apart-like protein homolog (Friend of EBNA2 protein) (WAPL cohesin release factor)	VWA2
Q7Z5K2	WD repeat-containing protein 91	WAPL
A4D1P6	Protein Wnt-9a (Protein Wnt-14)	WDR91
O14904	Wee1-like protein kinase (WEE1hu) (EC 2.7.10.2) (Wee1A kinase)	WNT9A
P30291	Serine/threonine-protein kinase WNK2 (EC 2.7.11.1) (Antigen NY-CO-43) (Protein kinase lysine-deficient 2) (Protein kinase with no lysine 2) (Serologically defined colon cancer antigen 43)	WEE1
Q9Y3S1	Protein Wnt-2 (Int-1-like protein 1) (Int-1-related protein) (IRP)	WNK2
P09544	WD repeat domain phosphoinositide-interacting protein 1 (WIPI-1) (Atg18 protein homolog) (WD40 repeat protein interacting with phosphoinositides of 49 kDa) (WIPI 49 kDa)	WNT2
Q5MNZ9	Protein Wnt-16	WIPI1
Q9UBV4	Wiskott-Aldrich syndrome protein family member 3 (WASP family protein member 3) (Protein WAVE-3) (Verprolin homology domain-containing protein 3)	WNT16
Q9UPY6	Fractalkine (C-X3-C motif chemokine 1) (CX3C membrane-anchored chemokine) (Neurotactin) (Small-inducible cytokine D1) [Cleaved into: Processed fractalkine]	WASF3
P78423	Chondroadherin-like protein	CX3CL1
Q6NUI6	Cyclin-dependent kinase 2-interacting protein (CDK2-interacting protein)	CHADL
Q9BW66	Protein CIP2A (Cancerous inhibitor of PP2A) (p90 autoantigen)	CINP
Q8TCG1	"DnaJ homolog subfamily A member 3, mitochondrial (DnaJ protein Tid-1) (hTid-1) (Hepatocellular carcinoma-associated antigen 57) (Tumorous imaginal discs protein Tid56 homolog)"	CIP2A
Q96EY1	DnaJ homolog subfamily A member 4	DNAJA3
Q8WW22	DNA ligase 1 (EC 6.5.1.1) (DNA ligase I) (Polydeoxyribonucleotide synthase [ATP] 1)	DNAJA4
P18858	DNA ligase 3 (EC 6.5.1.1) (DNA ligase III) (Polydeoxyribonucleotide synthase [ATP] 3)	LIG1
P49916	DNA (cytosine-5)-methyltransferase 3-like	LIG3
Q9UJW3	Deoxyribonuclease-2-alpha (EC 3.1.22.1) (Acid DNase) (Deoxyribonuclease II alpha) (DNase II alpha) (Lysosomal DNase II) (R31240_2)	DNMT3L
O00115	"HLA class II histocompatibility antigen, DO alpha chain (MHC DN-alpha) (MHC DZ alpha) (MHC class II antigen DOA)"	DNASE2
P06340	"HLA class II histocompatibility antigen, DO beta chain (MHC class II antigen DOB)"	HLA-DOA
P13765	Double C2-like domain-containing protein alpha (Doc2) (Doc2-alpha)	HLA-DOB
Q14183	Dedicator of cytokinesis protein 1 (180 kDa protein downstream of CRK) (DOCK180)	DOC2A
Q14185	Dedicator of cytokinesis protein 4	DOCK1
Q8N1I0	Dedicator of cytokinesis protein 5	DOCK4
Q9H7D0	Dedicator of cytokinesis protein 9 (Cdc42 guanine nucleotide exchange factor zizimin-1) (Zizimin-1)	DOCK5
Q9BZ29	"Histone-lysine N-methyltransferase, H3 lysine-79 specific (EC 2.1.1.360) (DOT1-like protein) (Histone H3-K79 methyltransferase) (H3-K79-HMTase) (Lysine N-methyltransferase 4)"	DOCK9
Q8TEK3	Dual oxidase maturation factor 1 (Dual oxidase activator 1) (Numb-interacting protein)	DOT1L
Q1HG43	C-C motif chemokine 14 (Chemokine CC-1/CC-3) (HCC-1/HCC-3) (HCC-1(1-74)) (NCC-2) (Small-inducible cytokine A14) [Cleaved into: HCC-1(3-74); HCC-1(4-74); HCC-1(9-74)]	DUOXA1
Q16627	Borealin (Cell division cycle-associated protein 8) (Dasra-B) (hDasra-B) (Pluripotent embryonic stem cell-related gene 3 protein)	CCL14
Q53HL2	BMP/retinoic acid-inducible neural-specific protein 1 (Deleted in bladder cancer protein 1)	CDCA8
O60477	C3a anaphylatoxin chemotactic receptor (C3AR) (C3a-R)	BRINP1
Q16581	Class E basic helix-loop-helix protein 41 (bHLHe41) (Class B basic helix-loop-helix protein 3) (bHLHb3) (Differentially expressed in chondrocytes protein 2) (hDEC2) (Enhancer-of-split and hairy-related protein 1) (SHARP-1)	C3AR1
Q9C0J9	B1 bradykinin receptor (B1R) (BK-1 receptor)	BHLHE41
P46663	Baculoviral IAP repeat-containing protein 5 (Apoptosis inhibitor 4) (Apoptosis inhibitor survivin)	BDKRB1
O15392	Aryl hydrocarbon receptor nuclear translocator-like protein 2 (Basic-helix-loop-helix-PAS protein MOP9) (Brain and muscle ARNT-like 2) (CYCLE-like factor) (CLIF) (Class E basic helix-loop-helix protein 6) (bHLHe6) (Member of PAS protein 9) (PAS domain-containing protein 9)	BIRC5
Q8WYA1	Brother of CDO (Protein BOC)	ARNTL2
Q9BWV1	Protein Bop (BH3-only protein) (Retrotransposon Gag-like protein 10)	BOC
Q7L3V2	Butyrophilin subfamily 3 member A1 (CD antigen CD277)	RTL10
O00481	Bcl-2-interacting killer (Apoptosis inducer NBK) (BIP1) (BP4)	BTN3A1
Q13323	Cytoplasmic tyrosine-protein kinase BMX (EC 2.7.10.2) (Bone marrow tyrosine kinase gene in chromosome X protein) (Epithelial and endothelial tyrosine kinase) (ETK) (NTK38)	BIK
P51813	Butyrophilin subfamily 3 member A2	BMX
P78410	Probetacellulin [Cleaved into: Betacellulin (BTC)]	BTN3A2
P35070	Anoctamin-1 (Discovered on gastrointestinal stromal tumors protein 1) (Oral cancer overexpressed protein 2) (Transmembrane protein 16A) (Tumor-amplified and overexpressed sequence 2)	BTC
Q5XXA6	Retina-specific copper amine oxidase (RAO) (EC 1.4.3.21) (Amine oxidase [copper-containing]) (Semicarbazide-sensitive amine oxidase) (SSAO)	ANO1
O75106	Protein arginine N-methyltransferase 1 (EC 2.1.1.319) (Histone-arginine N-methyltransferase PRMT1) (Interferon receptor 1-bound protein 4)	AOC2
Q99873	AP-1 complex-associated regulatory protein (2c18) (Adaptor-related protein complex 1-associated regulatory protein) (Gamma-1-adaptin brefeldin A resistance protein) (GBAR) (Gamma-BAR) (Gamma-A1-adaptin and kinesin interactor) (Gadkin)	PRMT1
Q63HQ0	Aquaporin-1 (AQP-1) (Aquaporin-CHIP) (Urine water channel) (Water channel protein for red blood cells and kidney proximal tubule)	AP1AR
P29972	Annexin A4 (35-beta calcimedin) (Annexin IV) (Annexin-4) (Carbohydrate-binding protein p33/p41) (Chromobindin-4) (Endonexin I) (Lipocortin IV) (P32.5) (PP4-X) (Placental anticoagulant protein II) (PAP-II) (Protein II)	AQP1
P09525	Gamma-secretase subunit APH-1B (APH-1b) (Aph-1beta) (Presenilin-stabilization factor-like)	ANXA4
Q8WW43	Aquaporin-9 (AQP-9) (Aquaglyceroporin-9) (Small solute channel 1)	APH1B
O43315	Beta-adrenergic receptor kinase 2 (Beta-ARK-2) (EC 2.7.11.15) (G-protein-coupled receptor kinase 3)	AQP9
P35626	Amyloid-beta A4 precursor protein-binding family A member 3 (Adapter protein X11gamma) (Neuron-specific X11L2 protein) (Neuronal Munc18-1-interacting protein 3) (Mint-3)	GRK3
O96018	ADP-ribosylation factor-like protein 6-interacting protein 4 (ARL-6-interacting protein 4) (Aip-4) (HSP-975) (HSVI-binding protein) (SR-15) (SRp25) (SR-25) (Splicing factor SRrp37)	APBA3
Q66PJ3	ADP-ribosylation factor GTPase-activating protein 3 (ARF GAP 3)	ARL6IP4
Q9NP61	Apelin receptor (Angiotensin receptor-like 1) (G-protein coupled receptor APJ) (G-protein coupled receptor HG11)	ARFGAP3
P35414	Apoptosis inhibitor 5 (API-5) (Antiapoptosis clone 11 protein) (AAC-11) (Cell migration-inducing gene 8 protein) (Fibroblast growth factor 2-interacting factor) (FIF) (Protein XAGL)	APLNR
Q9BZZ5	Phospholipid-transporting ATPase VD (EC 7.6.2.1) (ATPase class V type 10D) (P4-ATPase flippase complex alpha subunit ATP10D)	API5
Q9P241	Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)	ATP10D
P98196	"ATP synthase F(0) complex subunit C2, mitochondrial (ATP synthase lipid-binding protein) (ATP synthase membrane subunit c locus 2) (ATP synthase proteolipid P2) (ATP synthase proton-transporting mitochondrial F(0) complex subunit C2) (ATPase protein 9) (ATPase subunit c)"	ATP11A
